order_id,city,cuisine,day,order_hour,quantity,distance_km,order_value,delivery_time_min,payment,rating,tip,was_late
ORD10591,Mumbai,Chinese,Thu,22,3,4.5,519,27,Card,,15.0,No
ORD10520,Pune,Chinese,Sat,14,1,14.0,295,60,Cash,3.0,15.0,Yes
ORD10588,Hyderabad,Chinese,Sat,22,3,11.8,744,44,UPI,3.0,,Yes
ORD10113,Delhi,Desserts,Mon,22,3,5.2,370,36,UPI,5.0,20.0,No
ORD10322,Delhi,Burger,Fri,14,4,7.2,594,29,UPI,5.0,10.0,No
ORD10038,Mumbai,Biryani,Sat,13,3,1.5,933,24,Card,,,No
ORD10066,Hyderabad,South Indian,Mon,17,2,1.3,197,19,Cash,4.0,15.0,No
ORD10171,Pune,Biryani,Sun,23,5,4.2,1482,28,Cash,5.0,25.0,No
ORD10003,Bangalore,Biryani,Fri,3,2,12.5,522,51,UPI,4.0,40.0,Yes
ORD10146,Pune,South Indian,Fri,20,2,14.0,233,48,UPI,3.0,,Yes
ORD10092,Pune,South Indian,Sat,18,1,0.8,204,9,Cash,5.0,25.0,No
ORD10090,Hyderabad,South Indian,Sun,14,1,4.0,208,30,UPI,5.0,30.0,No
ORD10280,Mumbai,Chinese,Fri,13,3,4.0,568,33,UPI,5.0,20.0,No
ORD10033,Delhi,Pizza,Sun,14,2,0.6,602,21,UPI,5.0,20.0,No
ORD10390,Pune,Biryani,Sat,1,2,6.0,452,36,UPI,4.0,40.0,No
ORD10397,Mumbai,Desserts,Sun,22,1,2.5,253,31,UPI,5.0,20.0,No
ORD10099,Pune,Biryani,Sat,21,6,2.2,1310,20,Card,3.0,,No
ORD10531,Delhi,Burger,Sun,13,6,4.9,1115,37,UPI,,25.0,No
ORD10098,Hyderabad,Pizza,Fri,21,2,3.2,511,24,Card,,,No
ORD10229,Bangalore,Biryani,Sun,1,2,4.8,598,45,Cash,4.0,,Yes
ORD10211,Pune,South Indian,Wed,13,2,1.9,200,27,Card,5.0,,No
ORD10222,Bangalore,Chinese,Sat,19,2,13.8,506,63,Card,2.0,50.0,Yes
ORD10091,Hyderabad,Burger,Mon,18,4,8.3,640,37,UPI,5.0,20.0,No
