mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,weight_kg,efficiency,hp_per_weight,brand,name_upper
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,966.168,Good,0.04131455399061033,datsun,DATSUN PL510
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,832.356,Good,0.025068119891008173,volkswagen,VOLKSWAGEN 1131 DELUXE SEDAN
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,1013.3424,Good,0.050581915846016116,bmw,BMW 2002
27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,966.168,Good,0.04131455399061033,datsun,DATSUN PL510
28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,1026.9504,Good,0.03975265017667844,chevrolet,CHEVROLET VEGA 2300
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,962.9928,Good,0.04239284032030146,opel,OPEL 1900
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,940.7664,Good,0.033751205400192864,peugeot,PEUGEOT 304
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,936.684,Good,0.036803874092009685,fiat,FIAT 124B
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,804.2328,Good,0.03666102650874224,toyota,TOYOTA COROLLA 1200
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,731.6568,Good,0.04277743335399876,datsun,DATSUN 1200
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,831.9024000000001,Good,0.03271537622682661,volkswagen,VOLKSWAGEN MODEL 111
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,886.788,Good,0.03580562659846547,plymouth,PLYMOUTH CRICKET
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),992.9304,Good,0.031521242576518956,renault,RENAULT 12 (SW)
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),1037.8368,Good,0.04020979020979021,datsun,DATSUN 510 (SW)
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),981.5904,Good,0.036968576709796676,dodge,DODGE COLT (SW)
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),952.5600000000001,Good,0.0419047619047619,toyota,TOYOTA COROLLA 1600 (SW)
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,884.52,Good,0.02358974358974359,volkswagen,VOLKSWAGEN SUPER BEETLE
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,1027.404,Good,0.039735099337748346,fiat,FIAT 124 SPORT COUPE
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,846.8712,Good,0.026245313336904125,fiat,FIAT 128
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,884.52,Good,0.03435897435897436,datsun,DATSUN B210
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,1111.7736,Good,0.032639738882088945,ford,FORD PINTO
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,832.8096,Good,0.03540305010893246,toyota,TOYOTA COROLLA 1200
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,1006.5384,Good,0.03740423614240649,audi,AUDI FOX
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,890.4168,Good,0.03413143148242486,volkswagen,VOLKSWAGEN DASHER
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,1043.28,Good,0.03391304347826087,opel,OPEL MANTA
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,747.9864,Good,0.031534263189812006,toyota,TOYOTA CORONA
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,908.5608,Good,0.030454318522216674,datsun,DATSUN 710
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,963.9,Good,0.03529411764705882,dodge,DODGE COLT
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,1018.7856,Good,0.033392698130008905,fiat,FIAT 124 TC
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,1084.5576,Good,0.03889585947302384,subaru,SUBARU
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,907.2,Good,0.0335,fiat,FIAT X1.9
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,984.7656000000001,Good,0.03454629203132197,toyota,TOYOTA COROLLA
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,878.6232,Good,0.036138358286009295,volkswagen,VOLKSWAGEN RABBIT
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,814.212,Good,0.029526462395543174,honda,HONDA CIVIC CVCC
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,1117.6704,Good,0.0349025974025974,fiat,FIAT 131
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,1022.868,Good,0.03503325942350333,dodge,DODGE COLT
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,998.8272000000001,Good,0.037693006357856496,renault,RENAULT 12TL
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,923.076,Good,0.025552825552825554,chevrolet,CHEVROLET CHEVETTE
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,878.6232,Good,0.036138358286009295,vw,VW RABBIT
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,814.212,Good,0.029526462395543174,honda,HONDA CIVIC
29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit,827.82,Good,0.03890410958904109,volkswagen,VOLKSWAGEN RABBIT
32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210,902.664,Good,0.035175879396984924,datsun,DATSUN B-210
28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla,977.508,Good,0.03480278422273782,toyota,TOYOTA COROLLA
26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto,1163.484,Good,0.028070175438596492,ford,FORD PINTO
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,927.612,Good,0.033251833740831294,honda,HONDA ACCORD CVCC
30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,977.508,Good,0.037122969837587005,buick,BUICK OPEL ISUZU DELUXE
36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,827.82,Good,0.03178082191780822,renault,RENAULT 5 GTL
25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,1043.28,Good,0.04173913043478261,plymouth,PLYMOUTH ARROW GS
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,882.252,Good,0.03598971722365039,datsun,DATSUN F-10 HATCHBACK
29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,879.984,Good,0.04020618556701031,volkswagen,VOLKSWAGEN RABBIT CUSTOM
26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,1027.404,Good,0.033112582781456956,toyota,TOYOTA COROLLA LIFTBACK
25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,1249.6680000000001,Good,0.032304900181488204,ford,FORD MUSTANG II 2+2
30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,930.3336,Good,0.030716723549488054,chevrolet,CHEVROLET CHEVETTE
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,941.22,Good,0.04,dodge,DODGE COLT M/M
30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,900.396,Good,0.033753148614609575,subaru,SUBARU DL
30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,993.384,Good,0.03561643835616438,volkswagen,VOLKSWAGEN DASHER
43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,900.396,Good,0.024181360201511334,volkswagen,VOLKSWAGEN RABBIT CUSTOM DIESEL
36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,816.48,Good,0.03666666666666667,ford,FORD FIESTA
32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,900.396,Good,0.02619647355163728,mazda,MAZDA GLC DELUXE
39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,938.952,Good,0.033816425120772944,datsun,DATSUN B210 GX
36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,816.48,Good,0.03333333333333333,honda,HONDA CIVIC CVCC
25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),1233.792,Good,0.03235294117647059,ford,FORD FAIRMONT (MAN)
30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,977.508,Good,0.03155452436194896,chevrolet,CHEVROLET CHEVETTE
27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,1161.216,Good,0.037109375,toyota,TOYOTA CORONA
27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,1043.28,Good,0.04217391304347826,datsun,DATSUN 510
30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,1011.528,Good,0.033632286995515695,dodge,DODGE OMNI
31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,902.664,Good,0.035678391959798994,volkswagen,VOLKSWAGEN SCIROCCO
29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,968.436,Good,0.03185011709601874,honda,HONDA ACCORD LX
31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,873.18,Good,0.036883116883116886,vw,VW RABBIT CUSTOM
34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,895.86,Good,0.03291139240506329,maxda,MAXDA GLC DELUXE
35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,868.644,Good,0.04177545691906005,dodge,DODGE COLT HATCHBACK CUSTOM
27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,1211.112,Good,0.0299625468164794,amc,AMC SPIRIT DL
25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,1601.208,Good,0.02181303116147309,mercedes,MERCEDES BENZ 300D
27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,1446.984,Good,0.02225705329153605,peugeot,PEUGEOT 504
34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,997.92,Good,0.031818181818181815,plymouth,PLYMOUTH HORIZON
34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,975.24,Good,0.03255813953488372,plymouth,PLYMOUTH HORIZON TC3
31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,916.272,Good,0.03217821782178218,datsun,DATSUN 210
37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,966.168,Good,0.0323943661971831,fiat,FIAT STRADA CUSTOM
28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited,1211.112,Good,0.033707865168539325,buick,BUICK SKYLARK LIMITED
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation,1177.092,Good,0.04431599229287091,chevrolet,CHEVROLET CITATION
26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham,1224.72,Good,0.04259259259259259,oldsmobile,OLDSMOBILE OMEGA BROUGHAM
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix,1159.4016,Good,0.035211267605633804,pontiac,PONTIAC PHOENIX
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit,972.5184,Good,0.03544776119402985,vw,VW RABBIT
38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel,892.6848,Good,0.03048780487804878,toyota,TOYOTA COROLLA TERCEL
32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette,961.6320000000001,Good,0.0330188679245283,chevrolet,CHEVROLET CHEVETTE
37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310,915.8184,Good,0.032194155522535906,datsun,DATSUN 310
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation,1214.7408,Good,0.033607169529499624,chevrolet,CHEVROLET CITATION
26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont,1301.832,Good,0.030662020905923345,ford,FORD FAIRMONT
34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000,992.4768,Good,0.0356489945155393,audi,AUDI 4000
29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback,1229.7096,Good,0.033198081888601995,toyota,TOYOTA CORONA LIFTBACK
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,1153.0512,Good,0.029504327301337528,mazda,MAZDA 626
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,1104.0624,Good,0.03779786359901397,datsun,DATSUN 510 HATCHBACK
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,1027.404,Good,0.033112582781456956,toyota,TOYOTA COROLLA
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,957.096,Good,0.030805687203791468,mazda,MAZDA GLC
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,1270.08,Good,0.0375,dodge,DODGE COLT
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,957.096,Good,0.030805687203791468,datsun,DATSUN 210
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),945.756,Good,0.02302158273381295,vw,VW RABBIT C (DIESEL)
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),1059.156,Good,0.020556745182012847,vw,VW DASHER (DIESEL)
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),1338.1200000000001,Good,0.02271186440677966,audi,AUDI 5000S (DIESEL)
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,1474.2,Good,0.020615384615384615,mercedes-benz,MERCEDES-BENZ 240D
