mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,weight_kg,efficiency,hp_per_weight,brand,name_upper
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,1589.4144000000001,Average,0.037100456621004564,chevrolet,CHEVROLET CHEVELLE MALIBU
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,1675.1448,Average,0.04467912266450041,buick,BUICK SKYLARK 320
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,1558.5696,Average,0.043655413271245634,plymouth,PLYMOUTH SATELLITE
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,1557.2088,Average,0.043693562481794346,amc,AMC REBEL SST
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,1564.4664,Average,0.04059147579008408,ford,FORD TORINO
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,1969.0776,Average,0.04561161022805805,ford,FORD GALAXIE 500
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,1974.9744,Poor,0.050528249885163065,chevrolet,CHEVROLET IMPALA
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,1955.9232,Poor,0.049860853432282005,plymouth,PLYMOUTH FURY III
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,2007.18,Poor,0.05084745762711865,pontiac,PONTIAC CATALINA
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,1746.36,Average,0.04935064935064935,amc,AMC AMBASSADOR DPL
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,1616.1768,Average,0.04771260174010665,dodge,DODGE CHALLENGER SE
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,1637.0424,Poor,0.04433361041839845,plymouth,PLYMOUTH 'CUDA 340
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,1705.9896,Average,0.03988300983780909,chevrolet,CHEVROLET MONTE CARLO
